id,username,password,is_verified,is_banned
1,congngheetc,123456,0,0
2,vienthongelcom,123456,0,0
3,humaxvietnam,123456,0,0
4,vietnammsb,123456,0,0
5,crossian,123456,0,0
6,dichvuwin,123456,0,0
7,ttcvietnam,123456,0,0
8,shinhanvietnam,123456,0,0
9,tytnhhmageplaza,123456,0,0
10,vatruyenthong,123456,0,0
11,vugiaodich,123456,0,0
12,hochiminh,123456,0,0
13,tnhhcloudace,123456,0,0
14,voliovietnam,123456,0,0
15,tytnhhgameloft,123456,0,0
16,congnghent,123456,0,0
17,hochiminh_2,123456,0,0
18,nghevuthao,123456,0,0
19,longvietnam,123456,0,0
20,tphcmsaigoncoop,123456,0,0
21,cophanbdasc,123456,0,0
22,infiniqvietnamcoltd,123456,0,0
23,onetechasia,123456,0,0
24,syncpartners,123456,0,0
25,techvietnam,123456,0,0
26,congnghetrinity,123456,0,0
27,vienthongvinafore,123456,0,0
28,dungvietnam,123456,0,0
29,thucphamth,123456,0,0
30,hanoi,123456,0,0
31,thaisohahaho,123456,0,0
32,vienthongmobifone,123456,0,0
33,vietteltelecom,123456,0,0
34,cophandmspro,123456,0,0
35,truongthanhnam,123456,0,0
36,tnhhoneuniversevn,123456,0,0
37,congtysmartosc,123456,0,0
38,solislab,123456,0,0
39,congnghemigi,123456,0,0
40,thongtruyenhinh,123456,0,0
41,tinvietnam,123456,0,0
42,imtsolutionscorp,123456,0,0
43,pgbank,123456,0,0
44,nustechnology,123456,0,0
45,piragovietnam,123456,0,0
46,phantaiviet,123456,0,0
47,thongiitiittechcom,123456,0,0
48,thanhvienisofhcare,123456,0,0
49,fptsoftware,123456,0,0
50,nghevmoholdings,123456,0,0
51,tpssoftware,123456,0,0
52,morsoftwarehn,123456,0,0
53,sisuadigitalvietnam,123456,0,0
54,nexcelsolutions,123456,0,0
55,cophansynodus,123456,0,0
56,pentalogvietnam,123456,0,0
57,hamsacorporation,123456,0,0
58,ascomvietnam,123456,0,0
59,dienhopnhat,123456,0,0
60,phanweegoonglobal,123456,0,0
61,congngheavg,123456,0,0
62,tructuyenvietnambiz,123456,0,0
63,sonatgamestudio,123456,0,0
64,kgroup,123456,0,0
65,thongminhselex,123456,0,0
